YEAR,COUNTY,NUMBER_OF_ED_VISITS,AGE_ADJUSTED_ED_VISIT_RATE,AGE
2017,San Benito,126,88.8,child
2017,San Bernardino,6442,47.737500000000004,adult
2017,San Bernardino,4379,78.53541666666666,child
2017,San Diego,5830,23.384931506849313,adult
2017,San Diego,4157,57.50289855072464,child
2017,San Francisco,2165,33.211999999999996,adult
2017,San Francisco,1007,81.48499999999999,child
2017,San Joaquin,3145,65.12692307692308,adult
2017,San Joaquin,1645,84.48636363636363,child
2017,San Luis Obispo,453,25.38181818181818,adult
2017,San Luis Obispo,202,57.512499999999996,child
2017,San Mateo,1536,27.705555555555556,adult
2017,San Mateo,721,48.44705882352941,child
2017,Santa Barbara,815,25.671428571428574,adult
2017,Santa Barbara,504,65.85555555555555,child
2017,Santa Clara,3906,44.50208333333333,adult
2017,Santa Clara,1721,41.4675,child
2017,Santa Cruz,419,20.444444444444443,adult
2017,Santa Cruz,247,50.940000000000005,child
2017,Shasta,444,40.766666666666666,adult
2017,Shasta,206,66.16666666666667,child
2017,Siskiyou,85,44.25,adult
2017,Siskiyou,13,65.1,child
2017,Solano,2638,80.80909090909091,adult
2017,Solano,1178,118.35,child
2017,Sonoma,1293,35.8625,adult
2017,Sonoma,508,55.65833333333333,child
2017,Stanislaus,1908,45.526315789473685,adult
2017,Stanislaus,1083,75.53888888888889,child
2017,Sutter,174,28.166666666666668,adult
2017,Sutter,111,54.366666666666674,child
2017,Tehama,204,55.6,adult
2017,Tehama,129,113.55,child
2017,Trinity,26,108.1,adult
2017,Tulare,996,36.669230769230765,adult
2017,Tulare,976,68.48125,child
2017,Tuolumne,161,55.31999999999999,adult
2017,Tuolumne,37,82.0,child
2017,Ventura,1678,28.04285714285714,adult
2017,Ventura,1039,50.77777777777778,child
2017,Yolo,577,45.3125,adult
2017,Yolo,270,67.85714285714286,child
2017,Yuba,218,49.6,adult
2017,Yuba,100,56.55,child
2018,Alameda,5192,41.355555555555554,adult
2018,Alameda,2493,79.58461538461539,child
2018,Amador,73,51.79999999999999,adult
2018,Butte,683,44.922222222222224,adult
2018,Butte,171,46.0,child
2018,Calaveras,86,84.8,adult
2018,Calaveras,29,104.4,child
2018,Colusa,45,44.5,adult
2018,Colusa,25,111.9,child
2018,Contra Costa,4032,41.11515151515152,adult
2018,Contra Costa,1872,71.925,child
2018,Del Norte,79,43.8,adult
2018,Del Norte,36,76.8,child
2018,El Dorado,343,37.56666666666667,adult
2018,El Dorado,90,29.525,child
2018,Fresno,3169,49.4,adult
2018,Fresno,3570,125.63939393939395,child
2018,Glenn,65,41.0,adult
2018,Glenn,14,32.8,child
2018,Humboldt,437,54.357142857142854,adult
2018,Humboldt,98,58.7,child
2018,Imperial,524,44.725,adult
2018,Imperial,546,123.21666666666665,child
2018,Inyo,31,30.3,adult
2018,Inyo,13,47.2,child
2018,Kern,2284,44.0,adult
2018,Kern,1835,81.78695652173913,child
2018,Kings,454,41.4,adult
2018,Kings,326,76.45,child
2018,Lake,378,81.36,adult
2018,Lake,78,114.1,child
2018,Lassen,79,62.0,adult
2018,Lassen,14,38.0,child
2018,Los Angeles,28601,35.91796875,adult
2018,Los Angeles,17530,70.70432900432901,child
2018,Madera,312,27.660000000000004,adult
2018,Madera,455,101.96000000000001,child
2018,Marin,362,22.254545454545454,adult
2018,Marin,124,37.03333333333333,child
2018,Mariposa,51,78.8,adult
2018,Mendocino,310,58.45,adult
2018,Mendocino,115,82.8,child
2018,Merced,1012,48.574999999999996,adult
2018,Merced,647,87.0,child
2018,Modoc,47,113.9,adult
2018,Mono,42,42.9,adult
2018,Mono,18,101.1,child
2018,Monterey,963,34.628571428571426,adult
2018,Monterey,521,52.154545454545456,child
2018,Napa,315,35.9,adult
2018,Napa,140,53.13333333333333,child
2018,Nevada,147,23.45,adult
2018,Nevada,27,38.8,child
2018,Orange,4889,21.016000000000002,adult
2018,Orange,2990,43.10153846153846,child
2018,Placer,807,32.24285714285714,adult
2018,Placer,281,39.52222222222222,child
